,Film,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Film ID
190,On the Waterfront,1954,108,"Crime,Drama,Thriller",8.1,"147,893",6e80353a-6ace-497d-9c6c-1756457a6dc8
191,The Caine Mutiny,1954,124,"Drama,War",7.7,"26,649",6eae2bc6-40f4-44f8-85c6-a11f363726cf
192,The Country Girl,1954,104,"Drama,Music",7.3,"5,766",27b1c21b-9ec8-4270-84a1-ff91400e2b2e
193,Seven Brides for Seven Brothers,1954,102,"Comedy,Drama,Musical",7.4,"23,448",96a4a3d6-e8dd-40cb-a54c-b5dbcbfc5e32
194,Three Coins in the Fountain,1954,102,"Drama,Romance",6.3,"3,276",2ebbefba-fb33-47ed-97bb-2b22c85606db
195,Marty,1955,90,"Drama,Romance",7.7,"22,916",0e335b5a-ed13-4c51-8028-d489d57a1e75
196,Love Is a Many-Splendored Thing,1955,102,"Biography,Drama,Romance",6.5,"4,688",2bd69ac3-6b2e-4132-b1b0-0f073a1c75e9
197,Mister Roberts,1955,123,"Comedy,Drama,War",7.7,"16,057",eab1a500-de95-4cf8-a44e-314760de571d
198,Picnic,1955,115,"Drama,Romance",7.1,"8,425",d9576b2a-0b16-4c95-b574-4ea6cd782260
199,The Rose Tattoo,1955,117,"Comedy,Drama,Romance",7.0,"3,763",a74c209a-4f5f-4f90-aaec-6c77b62b3ed3
200,Around the World in 80 Days,1956,175,"Adventure,Comedy,Family",6.8,"26,019",a0ddcb59-a173-4ffb-9139-3a1a71d006aa
201,Friendly Persuasion,1956,137,"Drama,Romance,War",7.4,"6,784",bde43e69-9c9b-4b7b-a438-f5aa9dcb8808
202,Giant,1956,201,"Drama,Western",7.6,"36,951",c77c1d53-c9ea-400d-ad82-7e740e7f1e29
203,The King and I,1956,133,"Biography,Drama,Musical",7.4,"24,685",05914cd6-60ae-4836-bdc7-1e6ec4b1eb8c
204,The Ten Commandments,1956,220,"Adventure,Drama",7.9,"66,969",7f920258-daa7-4df8-84f1-2f41ddb99b9d
205,The Bridge on the River Kwai,1957,161,"Adventure,Drama,War",8.1,"210,558",fc627090-b4c0-418b-8437-94b0f41d9bba
206,12 Angry Men,1957,96,"Crime,Drama",9.0,"725,938",4b3c9249-b991-4a5a-b35d-bf98e217e2bf
207,Peyton Place,1957,157,"Drama,Romance",7.2,"5,707",548cd53c-e455-4fe0-b10b-64d59cadc17b
208,Sayonara,1957,147,"Drama,Romance",7.1,"6,473",76b1d406-1398-4917-9007-23484d207a8d
209,Witness for the Prosecution,1957,116,"Crime,Drama,Mystery",8.4,"115,545",db810dc3-c8f5-40be-b525-a77898135ad4
210,Gigi,1958,115,"Comedy,Musical,Romance",6.7,"21,807",7d5a1db5-c60e-458c-9f9e-4ce599f4118a
211,Auntie Mame,1958,143,"Comedy,Drama,Romance",7.9,"10,825",ed3ebe9b-ba2b-4a93-bd71-369b04396fab
212,Cat on a Hot Tin Roof,1958,108,Drama,8.0,"47,222",466621aa-287c-4316-9083-74a5fc72a4f6
213,The Defiant Ones,1958,96,"Crime,Drama",7.6,"14,358",45435847-81e6-44f8-891d-59ac0e5bb985
214,Separate Tables,1958,100,"Drama,Romance",7.4,"7,248",a19cbb5a-db41-4119-a8ed-c805948873a8
215,Ben-Hur,1959,212,"Adventure,Drama,History",8.1,"227,894",0bb257f6-e9ee-4afd-b8f0-69c2ea1167ae
216,Anatomy of a Murder,1959,161,"Crime,Drama,Mystery",8.0,"62,835",326c4a14-173e-40e2-a943-bc8e7f61128c
217,The Diary of Anne Frank,1959,180,"Biography,Drama,Family",7.4,"12,413",77f80298-293e-4bd3-a071-394c8136600d
218,The Nun's Story,1959,149,Drama,7.6,"9,968",acc60dd6-f542-493e-9900-2174bd8cf1b2
219,Room at the Top,1959,115,"Drama,Romance",7.5,"5,746",53007b62-3d97-4d58-b381-10747520cb22
220,The Apartment,1960,125,"Comedy,Drama,Romance",8.3,"171,390",bec485c9-8736-4ec5-8275-478478dc1d20
221,The Alamo,1960,162,"Adventure,Drama,History",6.8,"15,189",547529c6-55ca-4007-be9d-d064b271c15e
222,Elmer Gantry,1960,146,Drama,7.8,"11,043",06cb872f-b533-437b-a0ce-89cd08b8c6f6
223,Sons and Lovers,1960,103,Drama,7.1,"1,506",2f559ba8-3cce-4cdd-a404-fa99f01eb249
224,The Sundowners,1960,133,"Adventure,Drama",7.1,"4,031",f7881b5a-0ca8-44df-aef1-7428f3a703e0
225,West Side Story,1961,153,"Crime,Drama,Musical",7.5,"101,270",ef8f5e5d-f603-44ab-b358-091f26b0da7b
226,Fanny,1961,134,"Drama,Romance",6.9,"2,121",c25b2d36-9391-4279-8a8f-edc0e68d3a41
227,The Guns of Navarone,1961,158,"Action,Adventure,Drama",7.5,"47,296",ea4834bd-a58a-44a0-b796-7e54e3422e90
228,The Hustler,1961,134,"Drama,Sport",8.0,"78,871",0d5ee029-1350-4625-b906-afc878129ecf
229,Judgment at Nuremberg,1961,179,"Drama,War",8.2,"73,363",4de772d6-c839-490e-9e4a-365b48c6570a
230,Lawrence of Arabia,1962,228,"Adventure,Biography,Drama",8.3,"278,596",77641adf-a5dc-4475-9e3b-dd61c4e32951
231,The Longest Day,1962,178,"Action,Drama,History",7.8,"53,759",4f1a7a69-6434-477c-9124-2341c633a8a8
232,The Music Man,1962,151,"Comedy,Family,Musical",7.7,"16,665",1a4cbf83-c2d2-4bad-91c5-83aaac03ed16
233,Mutiny on the Bounty,1962,178,"Adventure,Drama,History",7.2,"15,634",8d5317bd-df12-4f24-b34d-e5047ef4665e
234,To Kill a Mockingbird,1962,129,"Crime,Drama",8.3,"303,387",63ebac97-3aa2-4dd3-8d53-3e8476873668
235,Tom Jones,1963,129,"Adventure,Comedy,History",6.5,"12,448",e96a144c-3f01-4f2f-a3ee-fc54bcd81df9
236,America America,1963,174,Drama,7.8,"5,215",7b22a71b-6b22-4b6c-a7ee-4f3a9bc6a3f6
237,Cleopatra,1963,192,"Biography,Drama,History",7.0,"31,027",47a31f2d-67c9-4aa1-a336-6f30e4dc6c57
238,How the West Was Won,1962,164,Western,7.1,"19,741",418250a9-d63e-41d1-8e48-8a5190ab57f1
239,Lilies of the Field,1963,94,Drama,7.6,"9,751",cec49f67-0474-42fe-bb36-d75224995e60
240,My Fair Lady,1964,170,"Drama,Family,Musical",7.8,"90,361",c3a074a7-658b-4a79-a049-eb30cdf3de0e
241,Becket,1964,148,"Biography,Drama,History",7.8,"14,231",5a35a08e-eafc-46f1-add2-8413867d1bcb
242,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Comedy,8.4,"466,261",cd6d6c18-61aa-4e9a-bdec-0dcb2d749dde
243,Mary Poppins,1964,139,"Comedy,Family,Fantasy",7.8,"163,118",ef2ab197-e570-481a-8a5c-ecc33bbc59ce
244,Zorba the Greek,1964,142,"Comedy,Drama",7.7,"21,591",91ff3fae-0b8f-495f-bcad-355504e26ba5
245,The Sound of Music,1965,172,"Biography,Drama,Family",8.0,"215,374",457971a1-ae06-42ce-9ddd-17e9be9b32af
246,Darling,1965,128,"Drama,Romance",7.1,"6,468",39e6d744-7f92-4cbf-9300-55a43bf7a5e3
247,Doctor Zhivago,1965,197,"Drama,Romance,War",8.0,"72,548",cb1ae708-873b-4b2e-b0ea-57967782d566
248,Ship of Fools,1965,149,"Drama,Romance,War",7.1,"5,725",85e8bfd9-99a2-40a6-b331-a333fa851c36
249,A Thousand Clowns,1965,118,"Comedy,Drama,Romance",7.4,"3,349",18894f37-9638-447a-970c-11024860541f
250,A Man for All Seasons,1966,120,"Biography,Drama,History",7.7,"33,107",d9e00e8e-315d-4507-9eb2-bf89bde7779a
251,Alfie,1966,114,"Comedy,Drama",7.0,"14,178",cb3bba47-5662-4b6d-b6fe-fab2b97102ac
252,"The Russians Are Coming, the Russians Are Coming",1966,126,"Comedy,War",7.0,"8,473",c73f5f10-891e-4204-b848-e5a9e422ad9f
253,The Sand Pebbles,1966,182,"Adventure,Drama,Romance",7.6,"14,184",dc277c9f-c5fd-46fa-8b70-25dadbc444cb
254,Who's Afraid of Virginia Woolf?,1966,131,Drama,8.0,"72,597",34a129cf-eb80-461b-a6da-c8f46df67c60
255,In the Heat of the Night,1967,110,"Crime,Drama,Mystery",7.9,"70,719",467a1595-1c69-442d-ab43-92f68b932ddc
256,Bonnie and Clyde,1967,111,"Action,Biography,Crime",7.8,"107,803",88b6470e-a145-47f2-b74a-3ba3266f2e4f
257,Doctor Dolittle,1967,152,"Adventure,Comedy,Family",6.2,"9,028",0d5b2439-d817-4a04-ada3-446556084561
258,The Graduate,1967,106,"Comedy,Drama,Romance",8.0,"261,921",da0bc2bf-7a48-44b7-be73-8e61624bc7b1
259,Guess Who's Coming to Dinner,1967,108,"Comedy,Drama",7.8,"41,907",2c26535d-eada-47be-8af1-75bbe5eeed78
260,Oliver!,1968,153,"Drama,Family,Musical",7.4,"36,386",bc77f25e-71fa-4563-be5d-47648fe69070
261,Funny Girl,1968,151,"Biography,Comedy,Drama",7.4,"21,174",83010621-a7cc-4e5e-b770-7bdb7c643cd2
262,The Lion in Winter,1968,134,"Biography,Drama,History",7.9,"30,196",15a28039-7a34-4e2d-89ea-ff8d61b669ff
263,"Rachel, Rachel",1968,101,"Drama,Romance",7.3,"3,213",55fcf55d-06e6-4b54-8133-aca96742158c
264,Romeo and Juliet,1968,138,"Drama,Romance",7.6,"30,500",b89ed64f-55e8-4c3e-80ee-e7ba748531ab
265,Midnight Cowboy,1969,113,Drama,7.8,"106,077",bc91f715-a16b-4de7-8aa5-7b0b2f875bdb
266,Anne of the Thousand Days,1969,145,"Biography,Drama,History",7.5,"7,138",56358a21-e826-4674-a4b5-aefbf11395a0
267,Butch Cassidy and the Sundance Kid,1969,110,"Biography,Crime,Drama",8.0,"208,400",174d890a-717f-4f2d-bff6-03b91ede8466
268,"Hello, Dolly!",1969,146,"Adventure,Comedy,Musical",7.1,"14,420",204c5d1d-ac8b-41fe-ba95-77c323121c43
269,Z,1969,127,"Crime,Drama,History",8.3,"25,227",65fd73b8-d854-42fb-97eb-2ed7866c831d
270,Patton,1970,172,"Biography,Drama,War",7.9,"98,155",542831fe-9ee4-4997-badb-98cabd43c3d2
271,Airport,1970,137,"Action,Drama,Thriller",6.6,"18,289",5bbfb550-a96e-49a4-90fc-a8351617e709
272,Five Easy Pieces,1970,98,Drama,7.5,"35,199",0d283411-d75d-413e-b31c-ece555cf661f
273,Love Story,1970,100,"Drama,Romance",6.9,"32,681",0a7e8fe6-3614-4599-bdf3-1bc14f161ffa
274,M*A*S*H,1970,116,"Comedy,Drama,War",7.5,"69,897",f65882a5-46f8-42f7-9302-bfc76fd0989d
275,The French Connection,1971,104,"Action,Crime,Drama",7.7,"115,341",02e62c41-fdb4-401f-a2a5-615fec952f9e
276,A Clockwork Orange,1971,136,"Crime,Drama,Sci-Fi",8.3,"783,346",b19db2e9-f854-4631-99b6-9c4ab7d08077
277,Fiddler on the Roof,1971,181,"Drama,Family,Musical",8.0,"41,233",adaf460e-b6f6-4acf-9419-b396d719a400
278,The Last Picture Show,1971,118,"Drama,Romance",8.0,"44,843",c4c3d7c5-c66c-4148-b205-812f47fc9c4f
279,Nicholas and Alexandra,1971,183,"Biography,Drama,History",7.2,"4,671",85261a3e-21e0-4862-9850-5cef43307bc0
280,The Godfather,1972,175,"Crime,Drama",9.2,"1,697,396",fa8d4d3c-41e1-488f-a30d-715a0ff09764
281,Cabaret,1972,124,"Drama,Music,Musical",7.8,"51,698",e353fab3-80df-4ebd-afcd-93f70b158537
282,Deliverance,1972,109,"Adventure,Drama,Thriller",7.7,"102,934",5ab0fdff-d86a-4320-822c-33d1184f43e6
283,The Emigrants,1971,151,"Drama,History",8.0,"6,121",ec2ca519-2209-40f8-b5e0-d1776bf1b140
284,Sounder,1972,105,"Drama,Family",7.6,"3,920",6e7ed550-a733-4030-a8e4-2aaf59a245dd
285,The Sting,1973,129,"Comedy,Crime,Drama",8.3,"249,856",bb6ef738-b9e4-49a2-b8fb-ab2429add488
286,American Graffiti,1973,110,"Comedy,Drama",7.4,"85,117",a2b35269-b14a-4126-a4bc-0530348b2457
287,Cries and Whispers,1972,91,Drama,8.1,"32,122",1f294125-03d2-4cca-b9b0-b767bdb0b816
288,The Exorcist,1973,122,Horror,8.0,"375,156",0cb63313-b7e2-49db-8bf9-17e72d61183e
289,A Touch of Class,1973,106,"Comedy,Romance",6.5,"2,991",db331a83-f319-4566-99a6-3c1d77937cf9
290,The Godfather Part II,1974,202,"Crime,Drama",9.0,"1,178,981",a29ebc75-3d9a-441f-966c-7b53a3478a71
291,Chinatown,1974,130,"Drama,Mystery,Thriller",8.2,"308,349",fc910341-bca7-4172-abff-116ca3e6d80e
292,The Conversation,1974,113,"Drama,Mystery,Thriller",7.8,"105,312",51f09950-d054-4bed-b422-cde53c0ad5d3
293,Lenny,1974,111,"Biography,Drama",7.6,"15,444",4a3d4e06-2109-4585-a4c1-53f25ae82ea3
294,The Towering Inferno,1974,165,"Action,Drama,Thriller",7.0,"41,582",7fb8aa38-464b-4846-85e0-e7e6cb0caaf8
295,One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,"950,833",93bd4453-5aa2-48b8-b2a6-c3f564fda13c
296,Barry Lyndon,1975,185,"Adventure,Drama,History",8.1,"157,491",96bd883e-8ef5-4ad1-999f-2892326d1548
297,Dog Day Afternoon,1975,125,"Biography,Crime,Drama",8.0,"245,162",25ec6295-c9bc-4535-8b76-c4c4b6932b27
298,Jaws,1975,124,"Adventure,Thriller",8.0,"563,056",49107a35-a34e-44c0-8324-843c7535719f
299,Nashville,1975,160,"Comedy,Drama,Music",7.7,"25,084",2db901c8-7162-466f-a4d6-22aba1a726bf
300,Rocky,1976,120,"Drama,Sport",8.1,"537,813",9cc026b8-3a23-4db9-a703-c2353be1ee4d
301,All the President's Men,1976,138,"Biography,Drama,History",8.0,"109,033",048b181b-f1c1-4e3e-bb57-008c90e68339
302,Bound for Glory,1976,147,"Biography,Drama,Music",7.3,"4,892",7ac51fff-7c08-48bb-8711-09a28224a21a
303,Network,1976,121,Drama,8.1,"151,780",09e7097f-0026-4147-9f4d-a17b04a57690
304,Taxi Driver,1976,114,"Crime,Drama",8.2,"758,393",5fca34f6-fdf8-4e6f-a845-ba51eed1fc2e
305,Annie Hall,1977,93,"Comedy,Romance",8.0,"257,550",50965bec-a059-4941-954a-07fddfa5a5e5
306,The Goodbye Girl,1977,111,"Comedy,Drama,Romance",7.4,"13,292",e437045d-d8e6-466b-98f5-bf81d91883eb
307,Julia,1977,117,Drama,7.2,"9,219",c982281e-2dfa-4de4-afb2-9bb7ad5300dc
308,Star Wars,1977,121,"Action,Adventure,Fantasy",8.6,"1,272,908",b03dfef6-a70b-43ef-bdf3-011c42307248
309,The Turning Point,1977,119,"Drama,Romance",6.9,"4,457",b43cfa51-76a9-4f3a-a5f2-baacb12be7b4
310,The Deer Hunter,1978,183,"Drama,War",8.1,"323,543",dcfb372f-430d-4998-a7f2-f23a78863ed4
311,Coming Home,1978,127,"Drama,Romance,War",7.3,"13,023",1354afbf-5844-458c-a3c6-21c3119083c6
312,Heaven Can Wait,1978,101,"Comedy,Fantasy,Romance",6.9,"19,822",8f0dd2a2-3322-4372-af45-cf1940585d86
313,Midnight Express,1978,121,"Biography,Crime,Drama",7.6,"76,311",01c95862-5a79-4087-9ae7-6f179d49ecd6
314,An Unmarried Woman,1978,124,"Comedy,Drama,Romance",7.2,"5,113",c5d97b57-e71f-40a9-a696-baaefe835b93
315,Kramer vs. Kramer,1979,105,Drama,7.8,"138,582",40ddb2ef-ead7-4129-9a4a-005bcb9385db
316,All That Jazz,1979,123,"Drama,Music,Musical",7.9,"29,674",fcf2c847-059b-4750-b7a2-f1d150fadc63
317,Apocalypse Now,1979,147,"Drama,Mystery,War",8.4,"627,726",7d84dcde-add0-4d6e-a416-5f418b0ee4a5
318,Breaking Away,1979,101,"Comedy,Drama,Romance",7.7,"22,594",73d83b0b-79ba-47da-b7f2-ef0c2f78860b
319,Norma Rae,1979,114,Drama,7.3,"11,062",42fd0a2b-55a7-4131-89a9-9de4d028d022
320,Ordinary People,1980,124,Drama,7.7,"49,328",c7fdd5fc-4ab9-4195-8462-51c65f7cddd0
321,Coal Miner's Daughter,1980,124,"Biography,Drama,Music",7.5,"17,579",e30d2afc-0324-4610-8579-2dc703156dd3
322,The Elephant Man,1980,124,"Biography,Drama",8.1,"229,693",0887d632-30bd-4e84-9d29-6bbfdd5984b8
323,Raging Bull,1980,129,"Biography,Drama,Sport",8.2,"334,550",06fac879-3ee3-4c83-b676-16c49688b302
324,Tess,1979,186,"Drama,Romance",7.3,"15,999",4e06a3f7-c35d-40a9-9a49-45738b7c505b
325,Chariots of Fire,1981,125,"Biography,Drama,Sport",7.2,"57,292",dd41a9d6-8ccd-493a-8208-c515dd3053c1
326,Atlantic City,1980,104,"Crime,Drama,Romance",7.3,"16,039",554cc033-c312-486f-82d5-f751453452de
327,On Golden Pond,1981,109,Drama,7.6,"29,276",f8b74df8-6eda-4e06-80f3-1222e3caa4a3
328,Raiders of the Lost Ark,1981,115,"Action,Adventure",8.4,"914,188",f70968f4-9afa-42d1-b73f-7bc1cbdbc218
329,Reds,1975,127,"Horror,Mystery,Thriller",7.6,"35,213",cb11d99b-5b54-4b7f-9526-45c7b96af6d7
330,Gandhi,1982,191,"Biography,Drama,History",8.0,"223,282",f4628a4a-c61d-4c53-8ee3-c44d18c7d400
331,E.T. the Extra-Terrestrial,1982,115,"Family,Sci-Fi",7.8,"386,073",46284c86-cb07-478c-8456-8fd89e9c84a9
332,Missing,1982,122,"Biography,Drama,History",7.7,"20,689",b113ce60-c3f8-4941-b9da-ebfe82a3fc9e
333,Tootsie,1982,116,"Comedy,Drama,Romance",7.4,"101,492",70a9622e-6db7-4e2c-aee8-10e95dada668
334,The Verdict,1982,129,Drama,7.7,"37,826",7652b232-b5ee-4956-8681-297fc00d41ab
335,Terms of Endearment,1983,132,"Comedy,Drama",7.4,"57,538",a9656df0-28f7-4c29-b304-676781b0aee1
336,The Big Chill,1983,105,"Comedy,Drama",7.2,"34,895",c8242d31-95c1-4c16-84b1-ec015f01c19a
337,The Dresser,1983,118,Drama,7.6,"5,072",3cf23d0c-6db3-4107-85bf-9416b8ea75ff
338,The Right Stuff,1983,193,"Adventure,Biography,Drama",7.8,"59,265",6abefa70-b1a8-488e-a096-68be3603d570
339,Tender Mercies,1983,92,"Drama,Music",7.4,"10,060",a7ce9a76-c855-4559-8100-17e45efa32da
340,Amadeus,1984,160,"Biography,Drama,History",8.3,"381,101",eae6dbc2-eeb2-428f-a591-0edebbd0c579
341,The Killing Fields,1984,141,"Biography,Drama,History",7.8,"53,545",6ac6765b-1aae-4bdf-8d0e-3b70b695a185
342,A Passage to India,1984,164,"Adventure,Drama,History",7.3,"18,017",47237a83-cdd6-4b9f-8d52-a1ceeef87a1f
343,Places in the Heart,1984,111,Drama,7.4,"11,271",62697f02-1274-4648-962e-44b423322cf5
344,A Soldier's Story,1984,101,"Crime,Drama,Mystery",7.2,"9,570",5c207c3e-8e9c-4b50-a2e6-045cca40862a
345,Out of Africa,1985,161,"Biography,Drama,Romance",7.2,"76,084",13188c13-9d17-47b3-951d-02210617670d
346,The Color Purple,1985,154,Drama,7.8,"82,027",529887f4-f40c-4df4-bde7-61edbc3b83ef
347,Kiss of the Spider Woman,1985,120,Drama,7.4,"15,003",01b3d4bc-21ef-4792-8b0b-587b77b165e6
348,Prizzi's Honor,1985,130,"Comedy,Crime,Drama",6.7,"23,681",77e1a54f-4e63-4d9f-af02-d769a4cd9231
349,Witness,1985,112,"Crime,Drama,Romance",7.4,"90,252",4b7f540c-15bc-4304-99cb-8e71b4aeb986
350,Platoon,1986,120,"Drama,War",8.1,"394,151",7e6ac04e-1578-40f4-a38d-62fd5169e065
351,Children of a Lesser God,1986,119,"Drama,Romance",7.2,"15,807",c60692a0-d167-403e-b91e-b928c84a82ab
352,Hannah and Her Sisters,1986,107,"Comedy,Drama",7.9,"69,273",d93370e0-15f5-4332-8f53-934c116db5f2
353,The Mission,1986,125,"Adventure,Drama,History",7.4,"58,975",25e4f98b-6c66-4073-8298-412c4ef204b8
354,A Room with a View,1985,117,"Drama,Romance",7.3,"41,517",f90240d7-9cf8-4fa8-beb0-69e8020f188a
355,The Last Emperor,1987,163,"Biography,Drama,History",7.7,"98,273",451afb73-2c85-47f1-ac5b-f9989f0c7519
356,Broadcast News,1987,133,"Comedy,Drama,Romance",7.2,"28,908",38fa3d70-d315-4777-aac6-79067a742e28
357,Fatal Attraction,1987,119,"Drama,Thriller",6.9,"80,634",8b29c745-1a07-4bd5-881b-66dd81fe33ac
358,Hope and Glory,1987,113,"Comedy,Drama,Romance",7.3,"13,104",db130473-1eda-40a4-babf-da6e269f1064
359,Moonstruck,1987,102,"Comedy,Drama,Romance",7.1,"54,964",54bb0a14-14b0-4726-a85c-07f6bc91b858
360,Rain Man,1988,133,Drama,8.0,"488,860",fffb86d7-7db1-427c-866c-06a2e79d745a
361,The Accidental Tourist,1988,121,"Drama,Romance",6.8,"15,488",b803316c-8926-4441-b44e-a13a70367c77
362,Dangerous Liaisons,1988,119,"Drama,Romance",7.6,"66,909",dda54969-86a7-475b-a0f3-80c6ce522d0f
363,Mississippi Burning,1988,128,"Crime,Drama,History",7.8,"94,171",f81a878d-fce0-4d2c-934e-0df851bf826c
364,Working Girl,1988,113,"Comedy,Drama,Romance",6.8,"54,343",ebabac08-be22-4207-a0ab-436d1e3c2b63
365,Driving Miss Daisy,1989,99,Drama,7.4,"104,806",feca6bb0-53c9-4495-a143-476bd692387b
366,Born on the Fourth of July,1989,145,"Biography,Drama,War",7.2,"101,778",a08e135b-07af-4bb9-a9cb-ff293f1372d3
367,Dead Poets Society,1989,128,"Comedy,Drama",8.1,"446,811",ed614f84-1f17-42bb-8c65-64c484d8ad4f
368,Field of Dreams,1989,107,"Drama,Family,Fantasy",7.5,"113,841",5f90d9e7-f6e0-421b-845f-84d81ddbec9e
369,My Left Foot,1989,103,"Biography,Drama",7.9,"71,014",49e21fd0-9d51-4006-9ee6-7518fba27201
370,Dances with Wolves,1990,181,"Adventure,Drama,Western",8.0,"249,524",98f8f2a9-a385-4248-a892-7c0857fb5260
371,Awakenings,1990,121,"Biography,Drama",7.8,"132,136",2605a134-1217-4ae4-bf30-43d97858e924
372,Ghost,1990,127,"Drama,Fantasy,Romance",7.1,"204,848",5e760389-af46-424d-bde2-405623e9ae86
373,The Godfather Part III,1990,162,"Crime,Drama",7.6,"373,892",881cf2a0-45e8-48b5-a63f-e59fd8e6d31a
374,Goodfellas,1990,146,"Biography,Crime,Drama",8.7,"1,065,109",99af9db4-124b-4abb-b7cd-ee67426e50c8
375,The Silence of the Lambs,1991,118,"Crime,Drama,Thriller",8.6,"1,326,186",a6694bfa-4746-421e-bfab-5dd4a062b942
376,Beauty and the Beast,1991,84,"Animation,Family,Fantasy",8.0,"427,333",9b075c78-d15a-46a2-acf2-cfe6e3b3f946
377,Bugsy,1991,136,"Biography,Crime,Drama",6.8,"27,635",dad4cc76-9f17-434e-8d0d-58efece318b8
378,JFK,1991,189,"Drama,History,Thriller",8.0,"147,893",b3cd9be4-89eb-4ab7-8e0f-8740d4cad197
379,The Prince of Tides,1991,132,"Drama,Romance",6.7,"17,342",1d71e707-d959-4ead-806c-9bb20f42bf3c
380,Unforgiven,1992,130,"Drama,Western",8.2,"390,280",2ec120ec-af89-47c0-a5de-ee0f0789cf1b
